size,total_net_assets,net_annual_expenses,morningstar_rating,inception_date,portfolio_bonds,sectors_basic_materials,sectors_consumer_cyclical,sectors_financial_services,sectors_real_estate,sectors_consumer_defensive,sectors_healthcare,sectors_utilities,sectors_communication_services,sectors_energy,sectors_industrials,sectors_technology,price_earning,returns_2017,returns_2016,alpha,beta
Large,486740000,1.22,2,29/07/2007,15.12,11.6,1.17,0,30.81,0.96,0,17.22,5.61,18.57,12.58,1.49,22.68,14.67,4.01,-1.96,0.84
Large,9980000,1.44,2,29/12/2011,0,2.82,11.76,16.58,2.04,5.94,12.83,3.89,4.9,5.56,10.22,23.48,14.49,17.05,11.26,-4.84,1
Large,997620000,1.2,3,28/10/1999,0,0,21.73,26.76,0,0,10.12,0,0,1.57,4.47,35.34,23.48,27.7,-2.26,1.04,1.1
Large,907850000,0.91,4,31/07/2000,19.34,3.9,13.5,16.27,4.59,9.17,11.97,1.17,2.14,5.4,11.43,20.46,16.92,19.31,6.95,-0.77,1.34
Large,451260000,1.36,5,30/01/2012,0.01,4.13,12.41,20.9,2.13,6.76,10.07,2.32,3.37,4.88,11.31,21.71,15.43,22.25,4.56,-1.87,1.64
Large,486740000,1.97,1,29/07/2007,15.12,11.6,1.17,0,30.81,0.96,0,17.22,5.61,18.57,12.58,1.49,22.68,13.69,3.24,-2.77,0.85
Large,486740000,1.47,2,31/05/2011,15.12,11.6,1.17,0,30.81,0.96,0,17.22,5.61,18.57,12.58,1.49,22.68,14.29,3.74,-2.19,0.85
Large,907850000,1.61,3,30/03/2005,19.34,3.9,13.5,16.27,4.59,9.17,11.97,1.17,2.14,5.4,11.43,20.46,16.92,18.49,6.11,-1.4,1.34
Large,486740000,1.07,2,29/07/2007,15.12,11.6,1.17,0,30.81,0.96,0,17.22,5.61,18.57,12.58,1.49,22.68,14.83,4.2,-1.88,0.86
Large,2930000000,0.35,4,31/01/2007,52.91,4.37,9,16.46,3.32,11.02,12.29,4.77,5.26,9.62,9.85,14.05,15.48,9.97,7.2,-0.43,0.76
Large,907850000,0.76,4,25/07/2013,19.34,3.9,13.5,16.27,4.59,9.17,11.97,1.17,2.14,5.4,11.43,20.46,16.92,19.55,6.98,-0.6,1.35
Large,486740000,0.95,3,27/11/2014,15.12,11.6,1.17,0,30.81,0.96,0,17.22,5.61,18.57,12.58,1.49,22.68,14.98,4.36,-1.66,0.85
Large,486740000,1.22,2,4/6/2017,15.12,11.6,1.17,0,30.81,0.96,0,17.22,5.61,18.57,12.58,1.49,22.68,0,0,-1.89,0.84
Large,486740000,0.95,2,29/07/2007,15.12,11.6,1.17,0,30.81,0.96,0,17.22,5.61,18.57,12.58,1.49,22.68,14.97,4.39,-1.67,0.84
Large,53950000,0.98,3,1/5/2011,40.31,3.78,12.96,15.68,3.48,8.47,12.21,2.87,2.28,6.43,11.96,19.9,16.29,12.08,6.08,-0.48,0.87
Large,2760000000,1.73,3,31/08/1994,28.49,3.09,13.92,16.13,3.37,7.43,12.5,3.03,2.74,6.04,11.59,20.15,14.74,14.4,5.87,-1.22,1.07
Large,363220000,1.06,4,28/12/1997,35.84,7.62,16.61,15.68,10.61,5.12,9.68,2.07,3.74,5.22,10.04,13.61,17.66,11.38,6.66,-0.72,0.95
Medium,104790000,0.69,2,1/5/2011,98.38,0,0,0,0,0,0,0,0,0,0,0,0,2.35,0.99,-0.74,0.93
Large,323000,0.89,4,31/07/1994,31.92,2.98,11.06,27.34,0,4.73,10.5,1.31,3.83,17.99,10.09,10.18,12.66,12.18,12.04,-1.21,1.12
Large,660000,0.86,3,25/04/2016,0,8.56,8.92,25.91,1.43,4.98,0.86,3.55,2.14,6.15,5.57,31.93,10.9,35.85,0,1.72,1.12
Large,4740000000,0.37,3,31/01/2007,49.57,4.36,9.41,16.34,2.99,10.64,12.45,4.41,5.03,9.47,9.99,14.9,15.63,10.83,7.1,-0.26,0.8
Large,128620000,0.68,3,25/04/2016,0,3.44,11.74,15.25,2.63,6.1,15.94,3.74,2.93,6.09,8.17,23.97,15.28,23.74,0,-0.2,0.96
